total energy consumption from petroleum and other liquids (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Dominican Republic,0.098125505,0.10843347,0.122989176,0.121854885,0.133999165,0.127579545,0.13719144,0.122050525,0.138936885,0.149396325,0.159909426,0.17179601,0.176616565,0.200654005,0.283472737,0.273215597,0.28689981,0.244166715,0.22634653,0.243330744,0.239157541,0.238541762,0.238963151,0.231954827,0.237082015,0.2261276,0.240784374,0.231215982,0.22026941,0.251026214,0.2668266
Ecuador,0.188320655,0.184577945,0.189169662,0.18236641,0.1962532,0.20929903,0.240767244,0.2232997,0.24092263,0.24869786,0.262100286,0.271422395,0.280310875,0.259121165,0.285744851,0.312684884,0.319299802,0.331646797,0.363371246,0.391292784,0.409963239,0.421225795,0.433960479,0.468331006,0.495941165,0.493647409,0.502853205,0.524977644,0.573512246,0.544098,0.513053
Egypt,0.919056495,0.941090085,0.93301269,0.94151823,0.990390635,0.96966484,0.946016304,0.953515415,1.003529905,1.029063115,1.123829352,1.1782127,1.2346198,1.213506375,1.155857462,1.142856758,1.149828042,1.173107627,1.304704537,1.319836873,1.350082482,1.428177227,1.472533908,1.557065623,1.623576849,1.57719481,1.65014059,1.658806258,1.782497864,1.764922873,1.6904404
El Salvador,0.030952329,0.030552544,0.033234081,0.032236837,0.034214261,0.039652724,0.045404789,0.045895721,0.051213077,0.065195899,0.062667472,0.06609566,0.077305394,0.078491608,0.077526533,0.079840251,0.083597109,0.087204821,0.087718929,0.088427627,0.091984025,0.097086279,0.090327756,0.090244228,0.08867202,0.089335299,0.091832679,0.087795624,0.090642058,0.096308272,0.097089
Equatorial Guinea,0.001036527,0.00107711,0.001079955,0.001714947,0.001714947,0.001714947,0.00171954,0.001714947,0.001714947,0.001714842,0.00171954,0.00192756,0.00192756,0.001927577,0.004136919,0.004845319,0.006272725,0.007695249,0.008634145,0.009102873,0.009780572,0.010294706,0.010517027,0.010488292,0.010488292,0.010488292,0.010517027,0.010488292,0.010488292,0.010269511,0.010512734
Eritrea,--,--,--,--,--,--,--,--,0.013251873,0.015181153,0.015516753,0.015676701,0.016648143,0.017280325,0.008858773,0.009705437,0.008848627,0.01060782,0.011553262,0.011560616,0.007938323,0.008152375,0.005799937,0.007016478,0.006994827,0.007124062,0.007574323,0.00772428,0.00806852,0.008001748,0.008146
Estonia,--,--,--,--,--,--,0.069480167,0.073167937,0.068087986,0.053372535,0.057689774,0.056753755,0.056409242,0.052592826,0.044711672,0.050398143,0.052622098,0.051105332,0.053247016,0.054547864,0.059242576,0.062445081,0.061193039,0.054156945,0.055520957,0.055089697,0.065427359,0.064604805,0.060948326,0.060808626,0.060526744
Eswatini,0.004122294,0.004705066,0.005005752,0.005240486,0.00502069,0.005815851,0.005432941,0.006537558,0.007061273,0.007061273,0.007080527,0.007061273,0.007061273,0.007061278,0.009355444,0.009252039,0.009231398,0.009294885,0.009233652,0.009200387,0.009158978,0.009534515,0.00981999,0.00956038,0.009611556,0.009718836,0.009895361,0.010088863,0.010474309,0.010922943,0.012128158
Ethiopia,0.036052875,0.040916683,0.039350453,0.041387423,0.041490244,0.034335806,0.049935832,0.0460338,0.030319565,0.032776964,0.024304889,0.024238482,0.035910727,0.045351307,0.048742523,0.05087873,0.052851227,0.056359226,0.05972449,0.069277724,0.074839295,0.085294569,0.091340091,0.093346966,0.093361581,0.099062522,0.104664387,0.122813652,0.141094044,0.146763666,0.1678348
Falkland Islands,0.00017063,0.00017063,0.00029693,0.000425225,0.000212613,0.000212613,0.000213195,0.000212613,0.000212613,0.000425225,0.000257024,0.000469037,0.000256425,0.000256442,0.000392819,0.000436273,0.000480102,0.000523557,0.000567386,0.000567386,0.000654669,0.000654669,0.000654669,0.000654669,0.000598066,0.000580722,0.000593833,0.000593833,0.000593833,0.000619,0.000643
Faroe Islands,0.007101851,0.007372964,0.007653286,0.00836323,0.009171012,0.00840201,0.008387984,0.008273167,0.00848578,0.009142891,0.009193584,0.009168465,0.009168713,0.009168717,0.01018471,0.011283143,0.010833611,0.010879188,0.011077308,0.01076211,0.010592779,0.011048959,0.010249311,0.009459347,0.010111358,0.009379666,0.009593132,0.010526875,0.009392731,0.009884637,0.010141
Fiji,0.013650599,0.011062676,0.011240409,0.013181282,0.014000378,0.011670999,0.01213645,0.012967866,0.013260487,0.014445021,0.014904398,0.014868421,0.014453599,0.015811107,0.020957262,0.021598707,0.017312251,0.020790373,0.029094623,0.024532955,0.027220004,0.02462004,0.014466339,0.01557911,0.014804445,0.029942783,0.016117571,0.020427306,0.026748693,0.034120061,0.032925859
Finland,0.471663396,0.487198834,0.486256707,0.47822042,0.477339533,0.477472078,0.478257866,0.44715939,0.465189371,0.429141066,0.431023673,0.429354048,0.444831592,0.445089293,0.442501007,0.444411638,0.457713021,0.467311845,0.460023933,0.456390465,0.463063578,0.472394648,0.452657875,0.423617591,0.441509786,0.428979119,0.411473899,0.421816931,0.412748105,0.414634221,0.422077063
Former Czechoslovakia,0.634706,0.636572492,0.604093709,0.66248085,0.618360663,0.513144038,0.510705375,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,--,--,--,--,--,--,0.119235791,0.071257118,0.069288166,0.057835884,0.104850086,0.141698126,0.132102116,0.120601302,0.130731893,0.170261137,0.174154898,0.176367631,0.175711442,0.177188633,--,--,--,--,--,--,--,--,--,--,--
